6101204291,"This cute little fellow was sitting on the windshield of my car.

<i>© PJJA Timmermans [2011] all rights reserved.
Pjerry.photos@gmail.com</i>"
6101204291,"This cute little fellow was sitting on the windshield of my car.

<i>© PJJA Timmermans [2011] all rights reserved.
Pjerry.photos@gmail.com</i>"
228954858,"Helsinki, Finland."
3782116777,"July, 2009"
6101204291,"This cute little fellow was sitting on the windshield of my car.

<i>© PJJA Timmermans [2011] all rights reserved.
Pjerry.photos@gmail.com</i>"
228954858,"Helsinki, Finland."
3782116777,"July, 2009"
3778718189,"No, i am just kidding no chandrayan, this plane crossing at an angle made me click this.

The clarity of this picture is as i would put it is as pure luck.

Processed picture

<b><a href=""http://www.urspark.com/vob.php"" rel=""noreferrer nofollow"">View On Black</a></b>

An there is a little dirt on the lens which makes the right bottom corner a lil bad."
4827891443,
4788266703,"The moon rises after sunset over the summer fog of San Francisco Bay. No HDR.  I've been away from photography for a few weeks, so I'll catch up with the huge pile of emails soon!

Free wallpaper for over 100 of my images in 6 different screen sizes is now available!

See the 1200 pixel version!
<a href=""http://www.flickr.com/photos/patrick-smith-photography/4788266703/sizes/o/in/photostream/"">www.flickr.com/photos/patrick-smith-photography/478826670...</a>



---------------------------------------------------------
Settings etc.:
---------------------------------------------------------

Canon 5D Mark II
Canon 17-40L @17 
4-minute exposure @F8  
LEE soft ND grad (100x150mm - 4x6in) 0.9 + 0.9
Lee foundation kit filter holder with Lee 77mm adapter ring
No polarizer.
ISO 200
RAW file processed with Capture One by Phase One
TIFF file processed with Photoshop

----------------------------------------------------------------------------------
The Story
----------------------------------------------------------------------------------

Once per month during a full moonrise at sunset, rangers on Mt. Tamalpais, just north of San Francisco have a moonlight walk.  This is the only chance to see this place at night because the park closes at sunset.  It was hot (90f (32c), dry and windy above the cold (59F (15c) fog.  You can literally walk from the cold fog to the hot winds and back again in just a few minutes!  And at times, you can feel cool breaths of air breaking up the hot winds.  This situation is common all summer long at 1500-3000 ft elevation above the coast of California.

The grasses, fog and trees, blew a lot and became softened during the 4 minute exposure.  So there is very little here that was stationary.  So even though it is sharp, only the rocks on the trail, the short foreground grasses, and the background are sharp.

If you ever get a change to do this, definitely try it out.  Sometimes the cold fog is too high and you see nothing, but it is worth a try.

See &quot;Guided hikes&quot; here:
<a href=""http://www.mttam.net/"" rel=""noreferrer nofollow"">www.mttam.net/</a>


The map shows where you park to start the hike.  The exact location is a 2 mile moderate hike in the dark from the ranger station, which is near the gate that they close at sunset.  It is not far from the road that you can take during the day, but a long-ish hike at night.  Bring your flashlight!

---------------------------------------------------------------------
Other stuff
---------------------------------------------------------------------

My pictures are featured on the front page of the newly redesigned <a href=""http://www.ca.gov"" rel=""noreferrer nofollow"">
The state Gov. of California website</a>.  Have a look!  It is Flash with my pics cut into layers for a 3-d slideshow.  If you are into building apps, the State has opened up lots of data to the public, so check it out!

----------------------------------------------------------------------
Resources:
----------------------------------------------------------------------

Google Earth
<a href=""http://earth.google.com/"" rel=""noreferrer nofollow"">earth.google.com/</a>

Simply the best way to scout out locations that there is.  You can see sun angles and pre-visualize light under lots of different conditions.  Sometimes you can actually pre-compose your shots!  This has saved me many thousands of vertical feet of climbing by avoiding spots with blocked views etc.

Satellite imagery (choose 'National' for a local US region or use your fave website)
<a href=""http://www.wrh.noaa.gov/satellite/?wfo=mtr"" rel=""noreferrer nofollow"">www.wrh.noaa.gov/satellite/?wfo=mtr</a>

Tide charting and preditions: (chose your area in US, other countries have similar websites)
<a href=""http://tidesandcurrents.noaa.gov/tide_predictions.shtml?gid=235"" rel=""noreferrer nofollow"">tidesandcurrents.noaa.gov/tide_predictions.shtml?gid=235</a>

Wave Heights (I choose 'North Pacific from Global')
<a href=""http://polar.ncep.noaa.gov/waves/main_int.html"" rel=""noreferrer nofollow"">polar.ncep.noaa.gov/waves/main_int.html</a>
Or Here:
<a href=""http://www.opc.ncep.noaa.gov/shtml/RP1bw.gif"" rel=""noreferrer nofollow"">www.opc.ncep.noaa.gov/shtml/RP1bw.gif</a>

Photos of every inch of the California coastline from a small plane.  Excellent for close in detailed views.

<a href=""http://www.californiacoastline.org/"" rel=""noreferrer nofollow"">www.californiacoastline.org/</a>

.
."
